,id,name,genre,year,gross_usa,gross_worldwide,imdb_users,no_of_ratings,aged_under_18,aged_18_29,aged_30_44,aged_45_plus,males,males_aged_under_18,males_aged_18_29,males_aged_30_44,males_aged_45_plus,females,females_aged_under_18,females_aged_18_29,females_aged_30_44,females_aged_45_plus,top_1000_voters,us_users,non_us_users,no_of_female_ratings,no_of_male_ratings,imdb_users_no_of_ratings,aged_under_18_no_of_ratings,aged_18_29_no_of_ratings,aged_30_44_no_of_ratings,aged_45_plus_no_of_ratings,males_no_of_ratings,males_aged_under_18_no_of_ratings,males_aged_18_29_no_of_ratings,males_aged_30_44_no_of_ratings,males_aged_45_plus_no_of_ratings,females_no_of_ratings,females_aged_under_18_no_of_ratings,females_aged_18_29_no_of_ratings,females_aged_30_44_no_of_ratings,females_aged_45_plus_no_of_ratings,top_1000_voters_no_of_ratings,us_users_no_of_ratings,non_us_users_no_of_ratings,male_rating_10,male_rating_9,male_rating_8,male_rating_7,male_rating_6,male_rating_5,male_rating_4,male_rating_3,male_rating_2,male_rating_1,female_rating_10,female_rating_9,female_rating_8,female_rating_7,female_rating_6,female_rating_5,female_rating_4,female_rating_3,female_rating_2,female_rating_1,gender_ratings
0,tt1524137,Contraband,"Action,Crime,Drama",2012,66528000,96262212,6.5,110301.0,6.2,6.7,6.4,6.4,6.4,6.0,6.7,6.4,6.3,6.6,7.0,6.7,6.5,6.6,5.9,6.4,6.4,10166.0,85696.0,110301.0,19.0,27598.0,52302.0,12184.0,85696.0,14.0,24407.0,46568.0,10595.0,10166.0,3.0,2944.0,5159.0,1410.0,471.0,17985.0,57398.0,3576.0,3076.0,11249.0,27987.0,24775.0,9438.0,3076.0,1197.0,583.0,739.0,832.0,701.0,1553.0,2809.0,2389.0,1058.0,414.0,160.0,123.0,127.0,95862.0
0,tt1527186,Melancholia,"Drama,Sci-Fi",2011,3029870,NaN,7.1,149717.0,8.1,7.4,7.1,6.8,7.1,8.0,7.4,7.1,6.8,7.2,7.6,7.3,7.1,7.0,6.4,7.0,7.2,34773.0,94016.0,149717.0,55.0,40678.0,68864.0,16363.0,94016.0,40.0,26422.0,51480.0,12922.0,34773.0,15.0,13726.0,16412.0,3159.0,503.0,21059.0,84277.0,9381.0,14038.0,22775.0,20256.0,11159.0,5978.0,3387.0,2258.0,1743.0,3041.0,4657.0,5840.0,7589.0,6830.0,3770.0,2126.0,1215.0,820.0,691.0,1235.0,128789.0
0,tt1528100,Exodus: Gods and Kings,"Action,Adventure,Drama",2014,65014513,268175631,6.0,148383.0,6.2,6.1,6.0,5.9,6.0,6.1,6.1,6.0,5.9,6.1,6.9,6.2,6.1,6.0,5.6,5.8,6.0,17710.0,103303.0,148383.0,78.0,42562.0,57490.0,13247.0,103303.0,64.0,35064.0,49256.0,11280.0,17710.0,12.0,7059.0,7430.0,1739.0,449.0,14554.0,71075.0,4034.0,3078.0,10095.0,24513.0,28741.0,16158.0,7035.0,3567.0,2076.0,4006.0,1133.0,814.0,2114.0,3921.0,4146.0,2434.0,1129.0,647.0,434.0,938.0,121013.0
0,tt1538403,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror",2013,31165421,90565421,5.9,119825.0,6.7,6.2,5.6,5.8,5.5,5.6,5.7,5.3,5.6,6.6,7.5,6.7,6.3,6.7,5.2,6.0,5.7,45512.0,49323.0,119825.0,189.0,42990.0,36252.0,8278.0,49323.0,47.0,17424.0,22617.0,5682.0,45512.0,133.0,25047.0,13139.0,2474.0,378.0,14026.0,49478.0,3042.0,1504.0,3787.0,8133.0,11465.0,8961.0,5076.0,3074.0,1762.0,2519.0,9922.0,4067.0,6246.0,7836.0,6990.0,4517.0,2477.0,1446.0,887.0,1124.0,94835.0
0,tt1547234,Premium Rush,"Action,Crime,Thriller",2012,20275446,NaN,6.5,104198.0,7.3,6.7,6.4,6.5,6.5,7.1,6.7,6.4,6.4,6.7,8.0,6.8,6.5,6.7,6.3,6.5,6.5,12907.0,77513.0,104198.0,44.0,29820.0,47410.0,9571.0,77513.0,38.0,24482.0,40995.0,8146.0,12907.0,4.0,5041.0,5800.0,1249.0,462.0,16599.0,54464.0,3050.0,2801.0,10532.0,26301.0,21005.0,8105.0,3014.0,1361.0,632.0,712.0,892.0,754.0,2088.0,4123.0,3016.0,1172.0,451.0,210.0,103.0,98.0,90420.0
0,tt1549920,The Last Stand,"Action,Thriller",2013,12050299,48330757,6.4,125015.0,6.3,6.5,6.3,6.4,6.4,6.4,6.5,6.3,6.3,6.4,5.0,6.5,6.3,6.5,6.2,6.4,6.3,6598.0,100482.0,125015.0,47.0,29621.0,58374.0,13539.0,100482.0,43.0,27663.0,54505.0,12235.0,6598.0,3.0,1701.0,3208.0,1091.0,534.0,16697.0,64655.0,5978.0,3806.0,12251.0,29504.0,26941.0,12461.0,4938.0,2172.0,1064.0,1367.0,609.0,385.0,934.0,1674.0,1466.0,750.0,315.0,177.0,116.0,172.0,107080.0
0,tt1560747,The Master,Drama,2012,16377274,28258060,7.1,127229.0,8.5,7.6,6.9,6.5,7.2,8.6,7.7,7.0,6.5,6.7,7.5,7.1,6.6,6.4,6.7,7.3,7.0,14781.0,92439.0,127229.0,72.0,35419.0,53943.0,14258.0,92439.0,62.0,30182.0,46196.0,11842.0,14781.0,7.0,4840.0,7010.0,2170.0,524.0,24580.0,63942.0,8768.0,11843.0,21231.0,22564.0,13384.0,6705.0,3245.0,1773.0,1176.0,1750.0,974.0,1363.0,2882.0,3714.0,2581.0,1347.0,672.0,429.0,326.0,493.0,107220.0
0,tt1563738,One Day,"Drama,Romance",2011,13843771,59389433,7.0,125171.0,7.8,7.2,6.8,6.6,6.8,8.0,7.1,6.7,6.5,7.2,7.6,7.4,7.0,6.8,5.7,6.6,7.0,54451.0,49314.0,125171.0,81.0,48745.0,43144.0,7863.0,49314.0,21.0,18055.0,23528.0,5429.0,54451.0,56.0,30028.0,18983.0,2304.0,338.0,10954.0,66053.0,4113.0,4129.0,10033.0,14949.0,8863.0,3792.0,1558.0,754.0,434.0,689.0,7745.0,6540.0,11950.0,13793.0,7829.0,3426.0,1415.0,732.0,492.0,529.0,103765.0
0,tt1564367,Just Go with It,"Comedy,Romance",2011,103028109,214945591,6.4,196471.0,6.7,6.5,6.3,6.1,6.3,6.3,6.4,6.2,6.1,6.6,7.5,6.8,6.4,6.4,5.5,6.3,6.3,53736.0,110838.0,196471.0,163.0,70293.0,75017.0,12567.0,110838.0,98.0,42162.0,53652.0,9659.0,53736.0,61.0,27398.0,20503.0,2718.0,523.0,28517.0,97096.0,6876.0,5434.0,14741.0,30317.0,27859.0,13022.0,5657.0,2892.0,1785.0,2255.0,6378.0,4251.0,8502.0,12620.0,11137.0,5692.0,2421.0,1207.0,750.0,778.0,164574.0
0,tt1568338,Man on a Ledge,"Action,Adventure,Crime",2012,18620000,46221189,6.6,135982.0,7.1,6.9,6.5,6.5,6.6,6.8,6.8,6.5,6.5,6.8,8.2,7.1,6.7,6.8,6.1,6.5,6.6,18621.0,99380.0,135982.0,48.0,38718.0,61271.0,13362.0,99380.0,37.0,31061.0,52179.0,11304.0,18621.0,10.0,7289.0,8339.0,1844.0,469.0,17375.0,74475.0,4262.0,4564.0,15479.0,34492.0,25026.0,9428.0,3370.0,1353.0,645.0,761.0,1472.0,1452.0,3509.0,5838.0,3819.0,1497.0,534.0,223.0,141.0,136.0,118001.0
