tvshow_code,show_name,seasonNumber,averageRating,numVotes
tt0044265,Guiding Light,1,7.9300000000000015,8.5
tt0045410,The Danny Thomas Show,1,7.109090909090909,7.818181818181818
tt0045410,The Danny Thomas Show,2,7.557142857142857,7.142857142857143
tt0045410,The Danny Thomas Show,3,7.74,7.4
tt0045410,The Danny Thomas Show,4,8.138461538461538,6.923076923076923
tt0045410,The Danny Thomas Show,5,7.000000000000001,11.303030303030303
tt0045410,The Danny Thomas Show,6,7.543750000000002,8.4375
tt0045410,The Danny Thomas Show,7,7.72608695652174,8.73913043478261
tt0045410,The Danny Thomas Show,8,7.468,6.72
tt0045410,The Danny Thomas Show,9,7.225925925925927,6.592592592592593
tt0045410,The Danny Thomas Show,10,7.866666666666667,6.0
tt0045410,The Danny Thomas Show,11,7.716666666666668,5.666666666666667
tt0046576,The Adventures of Rin Tin Tin,1,7.052941176470589,11.205882352941176
tt0046576,The Adventures of Rin Tin Tin,2,7.103703703703705,9.814814814814815
tt0046576,The Adventures of Rin Tin Tin,3,6.79090909090909,8.090909090909092
tt0046576,The Adventures of Rin Tin Tin,4,7.06,7.0
tt0046576,The Adventures of Rin Tin Tin,5,6.8500000000000005,6.166666666666667
tt0046593,The Magical World of Disney,1,8.438095238095238,32.23809523809524
tt0046593,The Magical World of Disney,2,8.287500000000001,20.625
tt0046593,The Magical World of Disney,3,8.246666666666666,20.466666666666665
tt0046593,The Magical World of Disney,4,8.271428571428572,21.785714285714285
tt0046593,The Magical World of Disney,5,8.162500000000001,26.6875
tt0046593,The Magical World of Disney,6,8.524999999999999,17.1
tt0046593,The Magical World of Disney,7,8.68421052631579,11.157894736842104
tt0046593,The Magical World of Disney,8,8.06111111111111,37.72222222222222
tt0046593,The Magical World of Disney,9,8.015,38.3
tt0046593,The Magical World of Disney,10,8.139999999999999,62.55
tt0046593,The Magical World of Disney,11,8.272222222222222,10.11111111111111
tt0046593,The Magical World of Disney,12,8.236842105263156,11.0
tt0046593,The Magical World of Disney,13,8.323529411764707,13.470588235294118
tt0046593,The Magical World of Disney,14,8.138461538461538,13.923076923076923
tt0046593,The Magical World of Disney,15,7.909090909090909,11.0
tt0046593,The Magical World of Disney,16,7.542857142857144,13.357142857142858
tt0046593,The Magical World of Disney,17,7.41111111111111,9.555555555555555
tt0046593,The Magical World of Disney,18,7.860000000000001,9.7
tt0046593,The Magical World of Disney,19,7.471428571428571,10.0
tt0046593,The Magical World of Disney,20,7.3,9.75
tt0046593,The Magical World of Disney,21,7.533333333333334,8.0
tt0046593,The Magical World of Disney,22,7.3,9.8
tt0046593,The Magical World of Disney,23,7.883333333333333,10.333333333333334
tt0046593,The Magical World of Disney,24,7.94,53.0
tt0046593,The Magical World of Disney,25,7.63,8.6
tt0046593,The Magical World of Disney,26,7.754545454545454,8.545454545454545
tt0046593,The Magical World of Disney,27,8.575000000000001,9.125
tt0046593,The Magical World of Disney,28,7.425,25.5
tt0046593,The Magical World of Disney,29,7.983333333333332,10.333333333333334
